Food Item,Type,Link,Energy,Protein,Carbohydrate,Fat,Health Meter,Indgredients
hariyali-dalia,veg,https://www.balancenutrition.in/recipes/recipe-details/hariyali-dalia,Energy (kcal)- 170,Protein (g) - 3.5,Carbohydrate (g)- 28,Fat (g) - 5.5," Dalia fits well in a low-fat diet. It has no saturated fat, trans fat or cholesterol. spinach is important for skin and hair, bone health also provides protein, iron, vitamins, and minerals. spinach helps improving blood glucose control in diabetics, lowering the risk of cancer, lowering blood pressure and improving bone health.","['Broken wheat (dalia), washed and drained  30 g', 'Finely chopped mint leaves (pudina)  1 tbsp', 'Finely chopped coriander (dhania)  1 tbsp', 'Finely chopped spinach  1 small bunch', 'Oil  1 tsp', 'Mustard seeds ( rai / sarson) 1/2 tsp', 'Finely chopped green chillies  1 tsp', 'Salt - to taste']"
healthy-quinoa-khichdi,veg,https://www.balancenutrition.in/recipes/recipe-details/healthy-quinoa-khichdi,Energy (kcal)- 240,Protein (g) - 8,Carbohydrate (g)- 39,Fat (g) - 3.5," Quinoa khichdi being a great protein source contains an array of essential nutrients such as B vitamins, phosphorus, selenium, magnesium, etc. High in fiber, not only does quinoa pulao contributes to keeping you fuller for longer but also would prevent one from overeating. The presence of the two herbs ginger and garlic adds more on the flavor besides its medicinal properties.","['Quinoa - 30 g', 'Yellow dal, uncooked - 1 tbsp', 'Green split moong dal, uncooked -1 tbsp', 'Ginger, minced - ½ tsp', 'Garlic minced-\xa0 \xa0½ tsp', 'Turmeric - a pinch', 'Chopped vegetables ( tomatoes, onions, spinach, bell peppers, carrots, peas) -1 cup', 'Water  1 cup, add as per the consistency', 'Oil - ½ tsp', 'Salt  use minimum, to taste']"
herbed-dalia-dal-pulao,veg,https://www.balancenutrition.in/recipes/recipe-details/herbed-dalia-dal-pulao,Energy (kcal)- 236,Protein (g) - 7.6,Carbohydrate (g)- 38,Fat (g) - 6," When it comes to healthy eating, this power-packed complex carbohydrate cracked/broken wheat or dalia is one of the best. It plays a great contribution in controlling one's body weight. It contains virtually no fats and also free from saturated and trans fatty acids. Not only does it give an appealing taste, but also adds to the crunchiness when eaten. Adding moong dal to it will improve the quality of protein. ","['Moong dal - 2 tbsp', 'Dalia - 30 g', 'Vegetable broth/ plain water - 1 cup\xa0', 'Oil - 1 tsp', 'Chopped vegetables - Onion and yellow peppers - 1 cup', 'Chopped fresh flat-leaf parsley- 1 tbsp', 'Chopped fresh basil leaves - 1 tbsp', 'Lemon juice - squeeze as per taste', 'Salt- as per taste', 'Pepper - as per taste']"
high-fiber-chilla,veg,https://www.balancenutrition.in/recipes/recipe-details/high-fiber-chilla,Energy (kcal)- 155,Protein (g) - 3.4,Carbohydrate (g)- 23,Fat (g) - 4.2, Buckwheat is an amazing source of fiber and has a low glycemic index too. This combination is believed to be beneficial for people who want to drop weight. High fiber content keeps the hunger pangs at bay and gives a feeling of fullness for a longer duration. Adding curd to get a smooth batter also adds up to the protein content,"['Buckwheat - 2 tbsp', 'Samwa millet (sama) - 2 Tsp', 'Low fat curds (dahi) - 2 tbsp', 'Ginger - green chilli paste - 1/4th tsp', 'Mixed veggies (carrot, spring onion) - ¼ cup', 'Chopped coriander (dhania) - 1/4th tbsp', 'Salt - to taste', 'Oil for cooking - 1/2 tsp']"
jain-dum-biryani,veg,https://www.balancenutrition.in/recipes/recipe-details/jain-dum-biryani,Energy (kcal)- 190,Protein (g) - 8.5,Carbohydrate (g)- 28,Fat (g) - 5," Dum biryani is a wholesome meal to have while on weight loss. Brown rice is also a good source of protein, fiber and is rich in essential minerals such as manganese, iron, zinc, phosphorous, calcium, selenium and potassium. Cottage cheese contains all the essential amino acids needed for it to qualify as a complete protein. Spices in it have antibacterial and antiviral properties and many are high in B-vitamins and trace minerals.","['Brown Rice raw soaked and drained- 30 g', 'Paneer (cottage cheese) cubes - \xa010 g', 'French beans cut into diamonds - \xa020g', 'Babycorn halved  10 g\xa0', 'Green peas boiled  15 g', 'Black peppercorns \xa0- 2/3\xa0', 'Cloves  2/3', 'Bay leaf - 1', 'Cinnamon - 1-inch stick', 'Caraway seeds (shahi jeera) - 1 tsp.\xa0', 'Green cardamoms - 2', 'Salt to taste', 'Almonds  2\xa0', 'Curds - 50 g\xa0', 'Turmeric powder - ¼ tsp', 'Red chilli powder - 1 tsp', 'Garam Masala Powder 1 tsp\xa0', 'Fresh mint leaves ( to garnish ) -1 tbsp', 'Fresh coriander leaves ( to garnish )-\xa0 1 tbsp', 'Saffron (Kesar) a few strands', 'Oil  ½ tsp', 'Dough made of atta to seal', 'Water - 2 cups']"
jain-hara-bhara-kebab,vegan,https://www.balancenutrition.in/recipes/recipe-details/jain-hara-bhara-kebab,Energy (kcal)- 150,Protein (g) - 6,Carbohydrate (g)- 32.2,Fat (g) - 5," Peas are low-fat and contain vitamin C and vitamin E, and a good amount of the antioxidant mineral zinc. Raw banana is a good source of fiber, vitamins and minerals. Whole wheat bread crumbs in it add fiber to the dish.","['Green peas crushed - 1/2 cup', 'Ginger- 1 inch', 'Cumin seeds - 1 tsp', 'Green chilli finely chopped - 1', 'Bengal gram (chana) boiled - 10 g', 'Raw banana steamed and peeled - 25 g', 'Tomato - 10 g', 'Fresh coriander leaves chopped - 1 tbsp.', 'Fresh mint leaves chopped - 1 tbsp.', 'Garam masala powder - ½ \xa0tsp.', 'Chaat masala- \xa01 tsp.\xa0', 'Red chilli powder - \xa0½ \xa0tsp', 'Salt to taste', 'Whole Wheat Bread crumbs - 20 g\xa0', 'Oil  1 tsp.\xa0']"
jain-mexican-rice,veg,https://www.balancenutrition.in/recipes/recipe-details/jain-mexican-rice,Energy (kcal)- 150,Protein (g) - 5.5,Carbohydrate (g)- 23,Fat (g) - 3," Mexican bean rice prepared using brown rice which is known to have loads of health benefits, being a rich source of selenium and fiber. Addition of beans will enhance the nutritional benefits by adding on the protein content of the recipe, also essential nutrients. Colorful bell peppers are a good source of Vitamin C and Thiamin (Vitamin B1).","['Brown Rice raw 30 g', 'Paneer (cut into small cubes)  10 g', 'Baby corns (finely chopped)- \xa03-4', 'Broccoli (florets)  3-4', 'Yellow bell pepper( finely chopped )- ½ Small', 'Red bell pepper (finely chopped)- ½ Small', 'Green capsicum (finely chopped ½ Small', 'Zucchini (finely chopped)- ½ Small', 'Tomato puree - ½ cup', 'Dried oregano-\xa0 ½ \xa0tsp', 'Red chilli flakes-\xa0 ½ \xa0tsp', 'Fresh parsley chopped - \xa01 tsp', 'Basil leaves -2/3\xa0', 'Mexican Sauce \xa0- 1 tbsp', 'Celery (finely chopped) - 1 tsp', 'Olive Oil-\xa0 \xa0½ tsp', 'water -2 cups']"
jain-paneer-methi-masala,veg,https://www.balancenutrition.in/recipes/recipe-details/jain-paneer-methi-masala,Energy (kcal)- 113,Protein (g) - 5.4,Carbohydrate (g)- 2.9,Fat (g) - 5.7," Paneer being a good source of protein, for vegetarians, it is one of the best available high biological value protein, High in calcium and phosphorus, but also known to improve one's metabolism aiding in weight loss and reducing the risk of insulin resistance.","['Cottage Cheese Cubes (Paneer)- 20 g', 'Fresh Peas\xa0 -10 g', 'Tomatoes - 1 small', 'Muskmelon Seeds -\xa0 1 tsp', 'Fenugreek leaves\xa0 - 25 g', 'Dry Kashmiri Red Chillies- 2 (soak in water for 10 minutes)', 'Cumin Seeds (Jeera)\xa0 - ¼\xa0 tsp', 'Turmeric powder (Haldi) - ¼\xa0 tsp', 'Red Chilli Powder (Lal Mirch)\xa0 - ¼ tsp', 'Garam Masala Powder -\xa0 ¼ tsp\xa0', 'Curds -\xa0 2 tbsp', 'Salt to taste', 'Oil\xa0 - ½ \xa0tsp', 'Coriander- 1 tsp', 'Lemon wedge- 1']"
jain-pav-bhaji,veg,https://www.balancenutrition.in/recipes/recipe-details/jain-pav-bhaji,Energy (kcal)- 158,Protein (g) - 0.3,Carbohydrate (g)- 23,Fat (g) - 5," Raw bananas are best eaten boiled or cooked. It has a good amount of fiber which slows digestion and helps you feel full longer, aids in weight control. Like the ripened yellow banana, the raw banana is also high in potassium. Adding tomatoes and capsicum in this recipe makes it delicious and healthy. Also, capsicum contains vitamin A which helps to prevent eyes illnesses.","['Tomatoes (finely chopped) -\xa0 3 nos.', 'Capsicum (finely chopped) - 3/4 cup', 'Raw bananas (boiled and peeled) -\xa0 2 nos.', 'Peas (boiled and mashed) -\xa0 ½ cup (25 g )', 'Cumin seeds (jeera) -\xa0 ½ tsp', 'Red chilli powder (lal mirch) - 1 tsp', 'Turmeric powder (haldi)\xa0 - ¼ tsp\xa0', 'Pav bhaji masala /garam masala powder - 2 tsp', 'Salt to taste', 'Butter- 2 tsp', 'Oil - 1 tsp', 'Lemon- half slice', 'Chopped coriander- 1 tsp']"
jain-tikkies,veg,https://www.balancenutrition.in/recipes/recipe-details/jain-tikkies,Energy (kcal)- 123,Protein (g) - 3.5,Carbohydrate (g)- 13,Fat (g) - 5," Paneer is a good source of protein, for vegetarians it is one of the best available high biological value protein High in calcium and phosphorus, but also known to improve one's metabolism aiding in weight loss and reducing the risk of insulin resistance.","['Banana - \xa050 g', 'Capsicum  ½ small', 'French beans-\xa0 30 g', 'Boiled green peas -10 g\xa0', 'Crumbled paneer (cottage cheese)  20 g', 'Bengal gram\xa0', 'Flour- besan  1 tbsp.\xa0', 'Chaat masala- ¼ tsp.\xa0', 'Dried Oregano- ¼ tsp.\xa0', 'Salt and Freshly Ground Black Pepper (kalimirch) powder to taste', 'Oil-½ \xa0tsp.']"
jowar-bajra-roti,veg,https://www.balancenutrition.in/recipes/recipe-details/jowar-bajra-roti,Energy (kcal)- 110,Protein (g) - 2.7,Carbohydrate (g)- 23,Fat (g) - 3," Jowar and bajra flour rotis flavoured with spring onions and green chilli. Jowar and bajra are rich in iron, vitamin B & E, potassium, zinc, calcium, magnesium, iron and fibre. Being comparatively dry this roti is recommended for lunch or dinner with dal/pulse/ curd. This roti is flavoured with green chillies& spring onion.","['Bajra (black millet) flour -1 tbsp', 'Jowar (white millet) flour -1 tbsp', 'Spring onion -1 tbsp [finely chopped]', 'Green chilli-\xa0 1 no.[finely chopped]', 'Salt- use minimum, to taste']"
jowar-khichu,veg,https://www.balancenutrition.in/recipes/recipe-details/jowar-khichu,Energy (kcal)- 765.5,Protein (g) - 20.8,Carbohydrate (g)- 145.2,Fat (g) - 11," Jowar is a whole grain which is gluten-free along with being good for the celiac disease it is also good for Irritable bowel syndrome.Helps to reduce, Bloating, diarrhoea, constipation and headaches.Contains a High amount of fibre, is antioxidant rich and has a low glycemic index which helps in controlling the sugar.
","['Jowar flour - 1 cup', 'Water - 2 cup', 'Jeera - 1 tsp', 'Mustard seeds - 2 tsp\xa0', 'Green chillis chopped - 2\xa0', 'Pinch of hing', 'Pinch of haldi', 'Red chilli powder - 1 tsp', 'Curry leaves [4-5]', 'Salt as per taste', 'Tsp oil - 1½\xa0']"
jowar-or-bajra-khakhra,veg,https://www.balancenutrition.in/recipes/recipe-details/jowar-or-bajra-khakhra,Energy (kcal)- 100,Protein (g) - 2.7,Carbohydrate (g)- 17.4,Fat (g) - 3," Jowar has a higher content of calcium. Besides calcium, its also packed with iron, protein and fibre. Sesame seeds are an excellent source of copper and a very good source of manganese, but they are also a good source of calcium, magnesium, iron, phosphorus, vitamin B1, zinc, molybdenum, selenium, and dietary fiber.","['Jowar/Bajra flour- 20 g', 'Sesame seeds -1 tsp.\xa0\xa0', 'Ginger garlic and green chilli paste- ¼ tsp', 'Salt- as per taste']"
khakhra-with-sprouted-moong-quarantine-sp,vegan,https://www.balancenutrition.in/recipes/recipe-details/khakhra-with-sprouted-moong-quarantine-sp,Energy (kcal)- 100,Protein (g) - 4.8,Carbohydrate (g)- 19.5,Fat (g) - 0.5," This crunchy and tangy combination of khakhra and sprouted moong is healthy, tasty and filling!","['Whole khakhra, broken into pieces - 1 no', 'Boiled sprouted moong-\xa0 1 tbsp', 'Lemon Juice-\xa0 1 tsp', 'Chilli powder  1 tsp\xa0', 'Coriander, chopped- to garnish', 'Salt, use minimum- to taste']"
khandvi,veg,https://www.balancenutrition.in/recipes/recipe-details/khandvi,Energy (kcal)- 94,Protein (g) - 5.1,Carbohydrate (g)- 10.6,Fat (g) - 3.1," It is the best protein-rich snack which can be added at the tea time. Buttermilk in it aids in digestion Whereas, besan is rich in various nutrients including magnesium copper, folate, and manganese. It also contains iron, zinc, phosphorus, calcium, and potassium.","['Bengal gram flour - 1 tbsp', 'Turmeric powder - a pinch', 'Asafoetida - a pinch', 'Green chilly-\xa0 \xa01\xa0', 'Ginger grated - ¼ tsp', 'Salt to taste']"
khatta-moong-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/khatta-moong-quarantine-sp,Energy (kcal)- 90,Protein (g) - 3,Carbohydrate (g)- 13,Fat (g) - 3, The use of whole green gram or moong is very common in day-to-day Gujarati fare. Green moong dal will not only help you to shed kilos but also keeps you full for a longer period of time. The nutrients present in curd are easily absorbed by your digestive system ,"['Moong gram-\xa0 15gm', 'Sour curd-\xa0 15 gm', 'Chilli powder -¼ tsp', 'Turmeric powder-\xa0 a pinch', 'Bengal gram flour -2.5 gm', 'Olive oil - ½ tsp', 'Mustard seeds - ¼ tsp', 'Curry leaves - 2 or 3', 'Asafoetida - a pinch', 'Ginger-green chilli paste - ¼ tsp', 'Salt - to taste', 'Chopped coriander - 10 gm']"
khichdi,veg,https://www.balancenutrition.in/recipes/recipe-details/khichdi,Energy (kcal)- 99,Protein (g) - 3.9,Carbohydrate (g)- 20.2,Fat (g) - 2," Khichdi is an easy to digest healthy indian food prepared with a combination of rice with lentils. The combination of rice, lentils and ghee provides you with carbohydrates, proteins, dietary fibre, Vitamin C, calcium, magnesium, phosphorus and potassium.","['Rice: moong dal - 3:1 ratio (\xa0store it in air-tight container & use 2tbsp of it)', 'Water - 1 ½ to 2 cups', 'Mustard Seeds - 1/2 tsp', 'Ginger - 1/2 tsp', 'Cloves - 1', 'Cinnamon - \xa01/4 tsp', 'Garlic - 1/2 tsp', 'Ghee - 1/2 tsp']"
masoor-khichdi-quarantine-sp,veg,https://www.balancenutrition.in/recipes/recipe-details/masoor-khichdi-quarantine-sp,Energy (kcal)- 122,Protein (g) - 4,Carbohydrate (g)- 20,Fat (g) - 3," Brown rice is rich in carbohydrate, in minerals such as calcium, iron, phosphorus, and potassium and in vitamin E and the B-complex vitamins. Whole lentils contain both soluble & insoluble fiber. Lentils are rich in flavones, a class of antioxidants with antioxidant properties. This recipe provides good quality proteins obtained from the cereal-pulse combination and is packed with a good amount of dietary fiber.","['Brown Rice  20 g', 'Whole red lentils (sabut masoor)  10 g', 'Cumin seeds  ¼\xa0 tsp', 'Black peppercorns - 4', 'Cloves - 2', 'Cinnamon - 1-inch stick', 'Ginger, finely chopped  1/2 inch piece', 'Green\xa0', 'Turmeric powder - 1/4 tsp', 'Salt - to taste', 'Oil-\xa0 \xa0½\xa0 tsp']"
methi-thepla,veg,https://www.balancenutrition.in/recipes/recipe-details/methi-thepla,Energy (kcal)- 177,Protein (g) - 7,Carbohydrate (g)- 30.9,Fat (g) - 3.95," Theplas are healthy, filling and release energy slowly which is beneficial for health and performing daily tasks. They are also low in calories and saturated fats.  It is an easy and convenient option to carry theplas along with you when you are traveling or are out for a meeting.","['Whole wheat flour/atta- 2 tbsp\xa0', 'Gram flour/besan- 1 tbsp\xa0', 'Chopped fresh methi (fenugreek) leaves- 10-12 leaves\xa0', 'whole\xa0cumin or Cumin\xa0powder- a pinch \xa0', 'Coriander\xa0powder\xa0(dhania\xa0powder)- a pinch \xa0', 'Turmeric\xa0(haldi)- a pinch\xa0', 'Red\xa0chili\xa0powder- a pinch \xa0', 'Green chilli & ginger paste- 1 tsp\xa0', 'Curd/yogurt- 1 tsp\xa0', 'Salt- as per taste\xa0', 'Oil- 1/2 tsp\xa0']"
mini-ragi-pancake,veg,https://www.balancenutrition.in/recipes/recipe-details/mini-ragi-pancake,Energy (kcal)- 185,Protein (g) - 5.6,Carbohydrate (g)- 37,Fat (g) - 4.3," A very healthy cereal, which contains important amino acids (building blocks of protein) which may not be present in other cereals, thus making it more beneficial. Ragi or nachni is a good source of iron, calcium and potassium too. It also contains healthy carbs which keep us full for a longer duration.","['Ragi flour- 1 tbsp\xa0', 'Semolina (rava)- 1 tbsp', 'Besan- 1 tbsp', 'Finely chopped onions- 20gm', 'Finely chopped coriander (cilantro) leaves - 1 tbsp', 'Finely chopped green chillies- 1 Tsp', 'Salt- as per taste', 'Oil- 1/2 Tsp', 'Water- 1 cup']"
mixed-dal-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/mixed-dal-dhokla,Energy (kcal)- 170,Protein (g) - 7,Carbohydrate (g)- 25,Fat (g) - 2," Mixed dal dhokla is an amazing dish packed with a great balance of proteins and carbohydrates. Dhoklas are fermented which also increases the bio-availability of minerals present in food, helping the body assimilate more nutrition. The micro-organisms in the dhokla break down complex protein, carbohydrates, and fats into more easily assimilated molecules. Therefore, since healthy gut flora plays a key role in absorption, our body is able to absorb the maximum amount of nutrients, preventing nutrient deficiencies that are so common today.","['Mixed dal, powdered (Urad, chana, moong, masoor & tuvar) - 1 cup\xa0', '\xa0Yogurt - 1/2 cup', 'Salt to taste', 'Turmeric powder - 1/4 tsp', 'Roasted coriander powder - 1 tbsp', 'Garam masala powder - 1 tsp', 'Ginger-green chillies paste - 1 tsp', 'Oil - 1 tbsp', 'Sugar - 1 tsp', 'Lemon juice - 1 tsp', 'Tempering -', '\xa0Oil - 1 tsp', '\xa0Mustard seeds - 1 tsp', '\xa0Sprig curry leaves - 1', 'Green chilli, chopped - 1\xa0', 'Sesame seeds - 1/2 tsp', 'Coriander leaves, chopped - 1-2 tbsp']"
moong-bajra-khichdi,veg,https://www.balancenutrition.in/recipes/recipe-details/moong-bajra-khichdi,Energy (kcal)- 125,Protein (g) - 5,Carbohydrate (g)- 19,Fat (g) - 3, Bajra is rich in insoluble fiber that helps digestion and stool formation. Moong beans are low in calories and are a good source of protein for vegetarians.,"['Bajra soaked and drained  15g', 'Yellow moong dal washed and drained  15g', 'Olive oil  ½ tsp', 'Salt to taste', 'Cumin seeds \xa0- ¼ tsp', 'Asafoetida  a pinch', 'Turmeric powder \xa0- ¼ tsp']"
moong-dal,veg,https://www.balancenutrition.in/recipes/recipe-details/moong-dal,Energy (kcal)- 195,Protein (g) - 8,Carbohydrate (g)- 27,Fat (g) - 6," Moong dal also known as mung beans is the best if you are trying to eat healthily or lose weight. Moong dal can be a good high protein, a low fat alternative to meat dishes. Packed with protein and also fiber, moong dal can be eaten with hot roti, providing satiety, improving digestive health and lowering cholesterol.","['Moong dal - 2 tbsp', 'Onions, finely chopped - 1 small', 'Tomato, chopped - 1 small', 'Ginger, finely chopped or grated - 1/2 inch', 'Red chili powder - 1/4 tsp', 'Turmeric powder - 1/2 tsp', 'Coriander leaves- 2 or 3', 'Water - 1 cup', 'Salt - to taste']"
moong-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/moong-dhokla,Energy (kcal)- 114,Protein (g) - 8.1,Carbohydrate (g)- 18.4,Fat (g) - 0.7," Moong dal dhokla is a low calorie snack and is a favourite breakfast recipe of gujaratis. To enhance its flavour and nutritive value, add some grated carrots or ground peas to the batter. ","['Moong dal- 30gm', 'Ginger-green chilli paste-\xa0 \xa0¼ tsp', 'Cumin seeds powder-\xa0 ¼\xa0', 'Low-fat curd-\xa0 20gm', 'Salt to taste']"
oats-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/oats-dhokla,Energy (kcal)- 170,Protein (g) - 7.1,Carbohydrate (g)- 28,Fat (g) - 2.8," High in soluble fibre and beta - glucan, Oats makes the perfect, easy to make breakfast recipe. It is low in calories and also wholesome. It helps to cure diabetes, high cholesterol levels, poor heart health and obesity. This makes a good cereal pulse combination as the gram flour has a low glycemic index and good for diabetics.",['Green\xa0']
oats-upma,veg,https://www.balancenutrition.in/recipes/recipe-details/oats-upma,Energy (kcal)- 185,Protein (g) - 6.1,Carbohydrate (g)- 30,Fat (g) - 3.6," Eating oats provide an array of health benefits. High in soluble fiber and beta-glucan, oats make the perfect, easy to make breakfast recipe. It is low in calories and also wholesome. Adding vegetables such as green peas, carrot and french beans makes it more perfect. It plays role in maintaining weight.","['Oats-\xa02tbsp(30g)', 'Green\xa0peas-\xa01\xa0tbsp', 'French\xa0beans-\xa01\xa0tbsp,\xa0chopped', 'Onion-\xa01\xa0medium\xa0no.,\xa0finely\xa0chopped', 'Carrot-\xa01/2\xa0small\xa0no.', 'Urad\xa0dal\xa0(split\xa0black\xa0lentils)-\xa01/2\xa0tsp\xa0', 'Turmeric\xa0powder\xa0(haldi)-\xa0as\xa0per\xa0taste', 'Mustard\xa0seeds-\xa01/4\xa0tsp\xa0', 'Curry\xa0leaves-\xa01/2\xa0Tsp', 'Green\xa0chillies\xa0-\xa01\xa0no.', 'Coriander-\xa0for\xa0garnish', 'Salt-\xa0as\xa0per\xa0taste', 'Oil\xa0-\xa01/2\xa0Tsp']"
palak-dhokla,veg,https://www.balancenutrition.in/recipes/recipe-details/palak-dhokla,Energy (kcal)- 130,Protein (g) - 4.8,Carbohydrate (g)- 12.5,Fat (g) - 2.8," Spinach is high in fiber and water content, both of which help to prevent constipation and promote a healthy digestive tract. It is also an excellent source of vitamin K, vitamin A, vitamin C, and folic acid as well as a good source of manganese, magnesium, iron and vitamin B2.","['Besan - 30gm\xa0', 'Spinach puree-\xa0 \xa010gm\xa0', 'Lemon juice -1 tsp', 'Salt as per taste\xa0']"
pancharatna-dal,veg,https://www.balancenutrition.in/recipes/recipe-details/pancharatna-dal,Energy (kcal)- 260,Protein (g) - 13,Carbohydrate (g)- 38,Fat (g) - 6," Chana dal is high in fiber and helps to lower cholesterol. Masoor Dal contains high levels of protein, including essential amino acids isoleucine and lysine and are an essential source of inexpensive protein diet. The best benefit of ingesting urad dal is that it enhances digestion because of its rich fiber content. Urad dal benefits the health as it has both soluble and insoluble fiber which is good for digestion and also prevents constipation.

","['Chana dal (split Bengal gram) - 1 tbsp', 'Toor (Arhar) dal - 1 tbsp', 'Moong dal (split green gram) - 1 tbsp', 'Urad dal (split black lentils) - 1 tbsp', 'Masoor dal (split red lentil) - 1 tbsp', 'Turmeric powder (Haldi) - 1/4 tsp', 'Chilli powder -1/2 tsp', 'Coriander (dhania) powder - 3/4 tsp', 'Garam masala -1/2 tsp', 'Chopped tomatoes - 1/2 small', 'Chopped onions - 1/2 small', 'Salt - to taste', 'Cumin seeds (jeera) -1/2 tsp', 'Oil - 1 tsp', 'Ginger-garlic taste - 1 tsp', 'Green chilies- 1', 'Curry leaves - 3', 'Coriander leaves - 1 tbsp for garnishing']"
paneer-moong-chilla,veg,https://www.balancenutrition.in/recipes/recipe-details/paneer-moong-chilla,Energy (kcal)- 186,Protein (g) - 11.6,Carbohydrate (g)- 18,Fat (g) - 3.2," Green gram or moong dal can be eaten in many forms. It can be soaked and made into a dal/chilla or sprouted to make sprouted moong salad/sandwich etc. Chillas are easy to make and less time-consuming. Moong dal not only helps in weight loss but also benefits the metabolism, immune system and protects against fatal diseases. This recipe can be eaten as a healthy breakfast/snack. It is a filling and healthy option.","['Whole green gram-2 tbsp (sabut moong), soaked', 'Paneer- 10gms', 'Gram flour(besan)- 2 tsp', 'Onion- 1 small(25g)', 'Green chillies - 1 no.\xa0', 'Asafoetida- a pinch', 'Cumin seed- ½ tsp\xa0\xa0', 'Turmeric powder- ¼\xa0 tsp', 'Lemon juice- 1 tsp', 'Ginger- 1/2 inch, finely chopped', 'Red chilli powder- 1/4 tsp', 'Oil- ½ tsp', 'Salt- as per taste']"
panki,veg,https://www.balancenutrition.in/recipes/recipe-details/panki,Energy (kcal)- 137,Protein (g) - 2.9,Carbohydrate (g)- 22.5,Fat (g) - 3.6," Panki is a  light healthy snack for any time of the day. Bengal gram flour is a good protein source and is rich in fiber and delivers a boost of iron, magnesium and phosphorous. Curd contains calcium and also increases the absorption of minerals and prevent from diseases like arthritis and osteoporosis. Asafoetida and turmeric have several anti viral and antibacterial, anti-inflammatory properties.","['Rice + Bengal gram flour- 30 g', 'Sour curd- 1 tbsp', 'Chilli paste- 1 tsp', 'Coriander leaves (chopped)- 2 tbsp', 'Asafoetida (hing)-\xa0 ¼ tsp.\xa0', 'Turmeric powder (haldi)- ¼ tsp', 'Water as required', 'Salt- to taste', 'Oil- ½ tsp']"
protein-handvo,veg,https://www.balancenutrition.in/recipes/recipe-details/protein-handvo,Energy (kcal)- 122,Protein (g) - 5.4,Carbohydrate (g)- 19.6,Fat (g) - 2.8," Handvo is a traditional Gujarati dish which can be made with different kinds of batters.  Here it contains green moong dal which is very low in calories. Carrots are rich in beta-carotene which acts as an antioxidant to cell damage. The niacin in peas helps reduce, the production of triglycerides and VLDL and increase the production of HDL.","['Green moong dal - 15gm', 'Chopped and boiled mixed vegetables(french beans, carrot and green peas)  15g', 'Semolina  10gm', 'Besan  5gm', 'Finely chopped coriander - 10gm', 'Green chilli paste - ¼ tsp', 'Garlic and ginger paste - ¼ tsp', 'Salt to taste', 'Olive oil - ½ tsp', 'Mustard seeds -\xa0 ¼ tsp', 'Carom seeds - a pinch', 'Asafoetida - a pinch', 'Chopped red chilli - 1', 'Sesame seeds - 1/4 tsp']"
pumpkin-and-cluster-beans-sabzi,veg,https://www.balancenutrition.in/recipes/recipe-details/pumpkin-and-cluster-beans-sabzi,Energy (kcal)- 25,Protein (g) - 1,Carbohydrate (g)- 3,Fat (g) - 3," The presence of dietary fiber, potassium, and folate in this vegetable prevents the heart from various cardiovascular complications. Cluster beans work as a good laxative, stimulating bowel movement and improving your digestive system. Pumpkin is rich in fiber, and also has B-Carotene in it.","['Cluster beans -\xa0 15 g', 'Red pumpkin -\xa0 15 g', 'Cumin seeds\xa0 - ¼ tsp', 'Chilli powder\xa0 - ¼ tsp', 'Turmeric powder - ¼ tsp', 'Coriander-cumin seed powder - ¼ tsp', 'Olive oil - ½ tsp', 'Carom seeds - 1/4 tsp', 'Asafoetida - 1/4 tsp', 'Salt- to taste']"
pumpkin-or-kaddu-ki-sabzi,vegan,https://www.balancenutrition.in/recipes/recipe-details/pumpkin-or-kaddu-ki-sabzi,Energy (kcal)- 156,Protein (g) - 4.5,Carbohydrate (g)- 28,Fat (g) - 2.75, Pumpkin which is a good source of vitamin A. The nutrition profile of the vegetable is increased by chickpea which is a good source of protein. The Indian spices that are added in it as many benefits.,"['Red pumpkin (peeled and roughly chopped)-1 cup\xa0', 'Chickpeas (Kabuli chana) (soaked and boiled)- 1 tbsp\xa0', 'Tomatoes (finely chopped)- 1 medium\xa0', 'Onions (finely chopped) - 1/2 small\xa0', 'Coriander powder\xa0 - ½ tap', 'Red chilli powder - ½ tsp', 'Turmeric powder- ½ tsp', 'Ginger-garlic paste - 1 tsp', 'Oil\xa0 -½ tsp', 'Bay leaf\xa0 -1no.', 'Cumin seeds - ½ tsp', 'Salt to taste', 'Lemon juice\xa0 -½ tsp', 'Fresh coriander springs - 5 to 7\xa0']"
ragi-khichu,veg,https://www.balancenutrition.in/recipes/recipe-details/ragi-khichu,Energy (kcal)- 117,Protein (g) - 3.8,Carbohydrate (g)- 21.7,Fat (g) - 1.7," Ragi is a whole grain that is gluten-free and a staple of South India. It is a very good source of calcium, helps in controlling diabetes and helps battling anaemia. The high amount of dietary fibre in Ragi makes it a super food for weight loss.","['Ragi/nachni (red millet) flour - 4-5 tbsp\xa0', 'Curds - 4-5 tbsp\xa0', 'Cumin seeds - 1/4 tsp\xa0', 'Grated ginger - 1/4 tsp', 'Hing (asafoetida) - 1/5 tsp\xa0', 'Pinch of chilli powder', 'Chopped coriander - 1/4 tsp', 'Ghee - 1/2 tsp\xa0', 'Salt to taste']"
