Food Item,Type,Link,Energy,Protein,Carbohydrate,Fat,Health Meter,Indgredients
Kerala Style Chicken Stew,non-veg,https://www.balancenutrition.in/recipes/recipe-details/kerala-style-chicken-stew,Energy (kcal)- 93,Protein (g) - 10.5,Carbohydrate (g)- 5,Fat (g) - 5," Chicken also happens to be rich in niacin, one particular B-vitamin that guards against cancer and other forms of genetic damage. Sweet potato provides a good amount of vitamin A, vitamin C, vitamin B-6, pantothenic acid, potassium and manganese. Green peas are a very good source of vitamin K, manganese, dietary fiber, vitamin B1, copper, vitamin C, phosphorus, and folate. Carrots contain an antioxidant Beta-carotene. It also contains fiber, vitamin K, potassium, folate, manganese, phosphorous, magnesium, vitamin E and zinc. Coconut milk contains lauric acid, antimicrobial lipids and capric acid, which have antibacterial, anti-fungal and antiviral properties.","['Chicken - 50 g', 'Sweet Potato - 10 g', 'Carrot - 10 g', 'Boiled green peas- 10 g\xa0', 'Oil- 1/2 tsp\xa0', 'Onion - 10g', 'Ginger (chopped) - ¼ tsp', 'Garlic (chopped) - ¼ tsp', 'Green chillies- 2-3 nos.', 'Cinnamon- ½\xa0 stick', 'Cloves -1-2 nos.', 'Cardamom- 1 no', 'Pepper crushed - a pinch', 'Curry leaves 2-3 nos.', 'Vinegar-½ tsp', 'Salt as per taste', 'Coconut milk (Thin) -10 ml + water -10 ml']"
Kerela Olan ,veg,https://www.balancenutrition.in/recipes/recipe-details/kerela-olan,Energy (kcal)- 91,Protein (g) - 4,Carbohydrate (g)- 10,Fat (g) - 4," Ash gourd has several vitamins and minerals like phosphorus, calcium, riboflavin, iron, thiamine, niacin and vitamin C. Ash gourd contains a lot of moisture and also minute amounts of fats, fibers, carbohydrates, and protein. It is low in calories making it a suitable edible for obese and diabetic people. It has a cooling effect and works as a laxative. Ash gourd is useful in flushing out toxins from the body. It increases urine output and is beneficial in reducing inflammation. On the other hand, black-eyed beans are a rich source of protein, fiber, zinc, iron and vitamin C which is known to aid in the absorption of Iron. Overall the recipe is highly nutritious and can be easily consumed by people who wish to reduce weight and keep their blood sugar levels in check.","['Ash gourd (White pumpkin), cut into chunks - 250 g', 'Black-eyed beans (chawli) - 1/2 cup', 'Green chilli, slit lengthwise - 1', 'Coconut milk - 10 ml', 'Salt- to taste', 'Curry leaves - 4-5', 'Oil - 1/2 tsp']"
Lemon Rice  (Quarantine Sp.),veg,https://www.balancenutrition.in/recipes/recipe-details/lemon-rice-quarantine-sp,Energy (kcal)- 88,Protein (g) - 3,Carbohydrate (g)- 25,Fat (g) - 3," An authentic south indian dish made with brown rice which provides satiety due to its high fiber content and is much more healthier than simply white rice as it is a whole grain. Not only does it contain naturally healthy oils, nutrients such as selenium and manganese, phosphorus. By adding lemon which aids in vitamin C helps in iron absorption and is excellent for the skin.","['Brown rice (raw) - 30 g', 'Lemon juice - 2 tsp', 'Oil - ½ tsp', 'Mustard seeds -1/2 tsp', 'Asafoetida ( Hing ) -\xa0 a pinch', 'Split black gram skinless (dhuli urad dal) - ½ tsp', 'Curry leaves - 4-5', 'Whole dry red chillies broken -1', 'Turmeric powder  ¼\xa0 tsp', 'Salt as per taste\xa0']"
Malabar Appa Or Pathiri,veg,https://www.balancenutrition.in/recipes/recipe-details/malabar-appa-or-pathiri,Energy (kcal)- 120,Protein (g) - 3.4,Carbohydrate (g)- 17.4,Fat (g) - 4.5," Appa is also called Pathiri in Malabar cooking. These are essentially thin rice rotis served hot. Brown rice is high in fiber, acts as an anti-oxidant and has a low glycemic index. It helps in preventing diabetes, weight loss, heart disease and lowers cholesterol due to its high fiber content. Flaxseed helps slow down glucose metabolism and lower cholesterol levels. The omega-3 fatty acids in this superfood also reduce inflammation, lower blood pressure. It is a good option for adults as well as children.","['Brown Rice flour-20 g', 'Flaxseeds (roasted and coarsely grounded)- 10g', 'Salt to taste']"
Mamidikaya Pachi Pulusu Or Raw Mango Curry,vegan,https://www.balancenutrition.in/recipes/recipe-details/mamidikaya-pachi-pulusu-or-raw-mango-curry,Energy (kcal)- 96,Protein (g) - 1.1,Carbohydrate (g)- 15,Fat (g) - 2.8," The raw mangoes are loaded with vitamin C and B. The presence of oxalic acid, citric acid, succinic and malic acid gives it the sour taste. It also contains pectin.","['Raw mango/ Kairi- 1', 'Onion- 1/2 small no. chopped', 'Dry red chillies- 1 no.', 'Green chillies slit- 1/2 no.\xa0', 'Methi seeds- 1 tsp', 'Mustard seeds- 1/4th tsp', 'Cumin seeds- a pinch', 'Coriander- for garnishing', 'Curry leaves- a few', 'Water- 1/2 cup\xa0', 'Salt- as per taste', 'Oil- 1/2 tsp\xa0']"
Mangalorean Chicken Curry,non-veg,https://www.balancenutrition.in/recipes/recipe-details/mangalorean-chicken-curry,Energy (kcal)- 95,Protein (g) - 10,Carbohydrate (g)- 3,Fat (g) - 5," Chicken apart from being rich in protein, It is also high in retinol, alpha and beta-carotene, and lycopene, all derived from vitamin A, and all vital for healthy eyesight. Onions are a source of the strong antioxidant vitamin C that helps to combat the formation of free radicals known to cause cancer. The fatty acids in coconut milk are a natural antiseptic and may help treat dandruff, skin infections, wounds and dry, itchy skin. Coriander seeds are a great source of potassium, iron, vitamin A, K and C, folic acid, magnesium and calcium.","['Chicken - 50 g', 'Curry leaves - 2-3 nos.', 'Turmeric powder - a pinch', 'Tamarind pulp- 1 tsp', 'Salt as per taste', 'Coconut milk -10ml + 10ml water', 'Oil -1/2 tsp']"
Methi Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/methi-dosa,Energy (kcal)- 123,Protein (g) - 3.8,Carbohydrate (g)- 19.5,Fat (g) - 3," The fermented dosas help mitigate anti-nutrients as well as increase the bio-availability of the vitamins, minerals and macro-nutrients. This traditional dish is rich in carbohydrates, low in sugars and saturated fats, gluten-free and a good source of protein. Also, Methi dosa can be the perfect breakfast for diabetics as it is high in soluble fibre, reduces blood sugar levels by slowing down the digestion and absorption of carbohydrates. ","['Normal rice (raw)- 1 tbsp\xa0', 'Urad dal (raw)- 1 tbsp\xa0', 'Fenugreek seeds (methi)- 2 tsp', 'Asafoetida (hing)- a pinch', 'Salt- as per taste', 'Oil- 1/2 tsp']"
Millet Pongal,veg,https://www.balancenutrition.in/recipes/recipe-details/millet-pongal,Energy (kcal)- 177,Protein (g) - 6.3,Carbohydrate (g)- 32,Fat (g) - 6," Millet Pongal is a traditional south Indian recipe. Moong dal is a good source of protein and other nutrients. Compared to simply white rice, not only brown rice's fiber content high but also is low in glycemic index, reducing the blood sugar levels to rise. This millet, which is rich in calcium, helps in keeping your bones and teeth healthy.","['Moong dal/ Pesara Pappu -\xa0', 'Hulled millets [finger millet/ragi] -\xa0', 'Brown rice -\xa0', 'Water -\xa0', 'Few peppercorns', 'Boiled green peas -\xa0', 'Cumin -\xa0', 'Green chilli slit- 1', 'Grated ginger - 1/2 tsp', 'Pinch of hing', 'Pinch of turmeric', 'Oil\xa0', 'Salt to taste']"
Mix Dal Dosa ,veg,https://www.balancenutrition.in/recipes/recipe-details/mix-dal-dosa,Energy (kcal)- 168,Protein (g) - 6.7,Carbohydrate (g)- 19,Fat (g) - 5.7," Dosa is one such food item which is extremely appetizing and relatively light, adding low calories in your body. The combination of rice and pulses makes it a protein packed meal. Try this delicious dosa recipe.","['A mixture of [Green moong dal, Chana dal, Masoor dal, Urad dal, Toor dal] - ½ katori', 'Raw rice - 1 tbsp', 'Oil - 1/2 tsp\xa0', 'Salt - As per taste']"
Mixed Veg Vermicelli Or Seviyan Upma,veg,https://www.balancenutrition.in/recipes/recipe-details/mixed-veg-vermicelli-or-seviyan-upma,Energy (kcal)- 114,Protein (g) - 3.1,Carbohydrate (g)- 29,Fat (g) - 2.7, This mix veggie dish is very nutritious and healthy and full of vitamins and minerals. Vermicelli is good for health and is easily digestible. It has a special flavour and a lot of people prefer using vermicelli instead of spaghetti because it cooks very fast and has a thinner appearance.,"['Vermicelli- 30 gms', 'Split skinless black gram (urad dal) - 1/2 tsp\xa0', 'Split bengal gram (chana dal) - 1/2 tsp\xa0', 'Green peas - 10 gms\xa0', 'Carrot- 10 gms, cut into 1 inch cubes and boiled\xa0', 'Onion- 1 medium no. (30g)', 'Mustard seeds - 1/2 tsp', 'Curry leaves - 3 - 4 nos.', 'Green chilli- 1 no., finely chopped', 'Red chilli- 1 no., finely chopped', 'Turmeric powder- a pinch', 'Oil- 1/2 Tsp', 'Salt- as per taste']"
Mixed Vegetable Tamarind Rice,veg,https://www.balancenutrition.in/recipes/recipe-details/mixed-vegetable-tamarind-rice,Energy (kcal)- 145,Protein (g) - 5,Carbohydrate (g)- 20,Fat (g) - 3," Tamarind rice is a famous dish of south india, making this dish with brown rice instead of white rice which has the germ layer intact, which is a very good source of B vitamins and fiber. It has shown to have a tremendously positive effect on lowering cholesterol, blood sugar, and weight. Brown rice with daal makes this dish a perfect cereal pulse combination. By adding vegetables not only it looks colorful but also, is the complete nutrients and antioxidants which keep your body energetic.","['Carrots, cauliflower, green peas, French beans finely chopped and\xa0 boiled  1 cup', 'Brown Rice raw - 20 g', 'Oil -\xa0 ½ tsp', 'Asafoetida - a pinch', 'Mustard seeds\xa0 - ½\xa0 tsp', 'Split black gram skinless (dhuli urad dal)\xa0 - 1 tsp', 'Split Bengal gram (chana dal)\xa0 - 1 tsp', 'Whole dry red\xa0', 'Curry leaves- 5 - 6', 'Roasted peanuts- 1 tsp', 'Turmeric powder - ¼ tsp', 'Tamarind pulp - 2 tsp', 'Ginger chopped  ½ tsp', '\xa0seeds ( til) -1 tsp', 'Salt as per taste', 'Water - 2 cups']"
Moong Dal And Spinach Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/moong-dal-and-spinach-idli,Energy (kcal)- 115,Protein (g) - 7.5,Carbohydrate (g)- 17.5,Fat (g) - 1.1," Moong dal is an amazing source of vegetarian protein, a good source of fibre as well as potassium. Adding curds to it adds up to the protein value. Not only moong dal but spinach is an amazing source of potassium too. Potassium helps our muscles to function more efficiently (even heart muscles), improves our nerve function and helps kidneys to filter blood. Now we know why popeye loved spinach.","['Raw yellow moong dal (split yellow gram)- 2 tbsp\xa0', 'Blanched and roughly chopped spinach (palak)- 3/4th cup', 'Finely chopped green chillies-3', 'Curd- 1 tbsp', 'Salt- as per taste', 'Fruit salt- a pinch']"
Multigrain Dalia Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/multigrain-dalia-dosa,Energy (kcal)- 150,Protein (g) - 7,Carbohydrate (g)- 2,Fat (g) - 3," Dalia is an effective tool for diabetic people. It has a low glycemic index and contains complex carbohydrates, which ensure a slow and steady release of glucose into the blood thereby preventing your blood sugar levels from spiking. The insoluble fiber it contains absorbs water, thus promoting faster elimination. Udad dal is one of the richest sources of protein and vitamin B. fenugreek seeds is an effective remedy for acid reflux or heartburn","['Udad dal -10g', 'Dalia-\xa0 20g', 'Rice - 10g', 'Fenugreek seeds - ½ tsp', 'Oil - ½ tsp', 'Salt to taste']"
Oats Rava Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/oats-rava-idli,Energy (kcal)- 137,Protein (g) - 1,Carbohydrate (g)- 22.5,Fat (g) - 2, A very healthy twist to the regular old - style idlis. Oats is very high in soluble fibre and beta-glucan which is a protective factor against bad cholesterol (LDL).,"['Oats flour- 1 tbsp\xa0', 'Semolina (rava)- 1 tbsp\xa0', 'Curd- 1 tbsp', 'Grated ginger- 1/2 tsp', 'Finely chopped green chillies- 1 Tsp', 'Finely chopped coriander (cilantro) leaves- 1 tbsp', 'Salt- as per taste', 'Oil- 1/4th tsp\xa0', 'Water- as per requirement']"
Onion Uttapam  (Quarantine Sp.),veg,https://www.balancenutrition.in/recipes/recipe-details/onion-uttapam-quarantine-sp,Energy (kcal)- 140,Protein (g) - 5.2,Carbohydrate (g)- 22.5,Fat (g) - 3.3," A perfect cereal pulse combination. Black gram is rich in vitamins, minerals and devoid of cholesterol. It is a store house of calcium, potassium, iron, magnesium, copper, manganese etc. Urad dal contains vitamins and dietary fibers. Black gram also helps in increasing energy level.","['Normal rice (raw) UNREFINED - 1 tbsp', 'Urad dal (raw) - 1 tbsp', 'Onions thinly sliced - 30 g', 'Oil - ½ tsp', 'Salt- as per taste']"
Paniyaram(appe),veg,https://www.balancenutrition.in/recipes/recipe-details/paniyaram(appe),Energy (kcal)- 211,Protein (g) - 7.1,Carbohydrate (g)- 32.5,Fat (g) - 5.8," Banyard Millet nutritionally too, it is a good source of protein, which is highly digestible and is an excellent source of dietary fibre with a good amount of soluble and insoluble fractions. The carbohydrate content of barnyard millet is low and slowly digestible, which makes the barnyard millet nature's gift for modern mankind who is engaged in sedentary activities. Hence it can be potentially recommended for patients with cardiovascular disease and diabetes mellitus. Barnyard millet is most effective in reducing blood glucose and lipid levels. ","['Barnyard millet rice-30 gms', 'Black gram dal-15 gms', 'Fenugreek seeds-1 tsp', 'Onion (chopped)- 2 tbsp\xa0', 'Green chillies (chopped)-1-2 number', 'Cumin seeds- 1 tsp', 'Curry leaves-2-3', 'Oil-1 Tsp', 'Salt - as required']"
Pesarattu,veg,https://www.balancenutrition.in/recipes/recipe-details/pesarattu,Energy (kcal)- 137,Protein (g) - 7,Carbohydrate (g)- 19,Fat (g) - 3," Green moong is considered to be a perfect slimming food. It is not only low in fats, but green moong is also a rich source of protein and fiber which enables one to lower the high cholesterol level in the body system. The high fiber in green moong yields complex carbohydrate which improves digestion. It may also prove beneficial for people suffering from diabetes. Not only that green moong also has high levels of iron and folate. So overall pesarattu is a power packed, delicious and healthy option to consume. ","['Whole Green Gram- 30g', 'Onion- 1/2 small no. (25g), chopped finely', 'Cumin seeds- 1/4 tsp', 'Ginger- 1/2 inch piece', 'Thai green pepper- 1no.', 'Salt to taste\xa0', 'Oil- 1/2 Tsp']"
Pesarattu Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/pesarattu-dosa,Energy (kcal)- 158,Protein (g) - 5,Carbohydrate (g)- 20,Fat (g) - 3, Pesarattu dosa is a different  and very delicious breakfast recipe than regular one's. Moong dal contains a lot of minerals like calcium and potassium which is essential strengthens bones and teeth. Fat content in moong dal is very low so it is highly recommended for people who want to shed pounds from their body. Moong dal also helps for clearing toxins and unwanted chemicals from the body.,"['Whole green moong dal raw - 1 tbsp', 'Rice unrefined raw - 3 tbsp', 'Ginger finely chopped - ½ inch', 'Asafoe', 'Salt - as per taste\xa0', 'Oil - ½ tsp', 'Green chilli finely chopped - 2 nos.', 'Onion finely chopped - 2 tbsp']"
Poha Dosa  (Quarantine Sp.),veg,https://www.balancenutrition.in/recipes/recipe-details/poha-dosa-quarantine-sp,Energy (kcal)- 159,Protein (g) - 8,Carbohydrate (g)- 36,Fat (g) - 5," This is one dosa which is amazingly soft, spongy, porous and stays so even after some hours, excellent for tiffin boxes with some dry chutney. This poha dosa recipe is an Andhra speciality and also known as atukula.","['Idli rice- 30 g\xa0', 'Thick Poha/Ava- 15 g\xa0', 'Methi seeds- 1/4 tsp\xa0', 'Buttermilk- 1.5 cups (use 1/4 cup sour curd)\xa0', 'Salt- as per taste\xa0', 'Cooking soda- a pinch (optional)']"
Proso Millet Capsicum Rice,veg,https://www.balancenutrition.in/recipes/recipe-details/proso-millet-capsicum-rice,Energy (kcal)- 175,Protein (g) - 4,Carbohydrate (g)- 26,Fat (g) - 6, Millet’s are an extremely good source of fiber and protein compared with white rice. Proso millet is a healthy grain and alternative to rice. Do include millet in your daily diet for more health benefits to stay healthy.,"['\xa0Proso Rice Cooked to the softness - 1 cup', '\xa0Chopped capsicum to pieces - 1\xa0', '\xa0Chopped Onion - 1/2\xa0', '\xa0Cinnamon Stick Finely ground - 1/2\xa0', '\xa0Turmeric powder -\xa0\xa01/4 tsp', '\xa0Sambar Powder -\xa0\xa03/4 tsp', '\xa0Tamarind Pulp - 1/2 tbsp', '\xa0Mustard Seeds -\xa0\xa01/2 tsp', '\xa0Green chilli finely chopped - 1', '\xa0Oil -\xa0\xa01 tsp', '\xa0Salt To taste']"
Proso Millet Dosa,veg,https://www.balancenutrition.in/recipes/recipe-details/proso-millet-dosa,Energy (kcal)- 213,Protein (g) - 7,Carbohydrate (g)- 32,Fat (g) - 6.25, Millet’s are an extremely good source of fiber and protein compared with white rice. Proso millet is a healthy grain and alternative to rice. Do include millet in your daily diet for more health benefits to stay healthy.,"['Proso Millet – 1 cup', 'Onion – 1/4 onion', 'Green chilly – 1 no.s', 'Ginger – 1/4 inch', 'Cumin – 1/4 tsp', 'Coriander – 1 small bunch', 'Salt- to taste', 'Oil- 1 tsp', 'Black gram- 1/2 cup\xa0']"
Proso Millet Pongal,veg,https://www.balancenutrition.in/recipes/recipe-details/proso-millet-pongal,Energy (kcal)- 212,Protein (g) - 7.5,Carbohydrate (g)- 32.5,Fat (g) - 6, Millet’s are the extremely good source of fiber and protein compared with white rice. Proso millet is a healthy grain and alternative to rice. Do include millet in your daily diet for more health benefits to stay healthy.,"['Proso millet - 1/2 cup\xa0', '\xa0Moong daal - 1/4 cup', 'Salt, to taste', 'Green chillies or to taste - 2', 'Ghee- 1 tsp', 'Mustard seeds- 2 tsp', 'Asafoetida (hing) - 1 tsp', 'Cumin seeds (jeera) - 1 tsp\xa0', 'Turmeric powder - 3/4 tsp', 'Medium-sized carrot, peeled and cubed - 1', '\xa0Shelled green peas - 2 tbsp', 'Medium-sized onion, finely chopped - 1', 'Small-sized capsicum, chopped- 1/2', 'Medium-sized tomato, finely chopped- 1', 'A few stalks of coriander leaves, finely chopped']"
Puliyogare Rice,veg,https://www.balancenutrition.in/recipes/recipe-details/puliyogare-rice,Energy (kcal)- 168,Protein (g) - 3,Carbohydrate (g)- 15,Fat (g) - 9," Puliyogare or Tamarind Rice is a tangy-spicy South Indian Rice variety, which is known for its long shelf life and great travel food. This dish is also rich in protein and fibre.","['Brown Rice (raw) 30 g', 'Tamarind Paste-1tbsp', 'Mustard seeds  ¼th tsp', 'Dried red chilli - 1\xa0', 'Split Bengal gram (chana dal) - ½ tsp\xa0', 'Peanuts - 1 tsp\xa0', 'Curry leaves 3-4\xa0', '\xa0Jaggery (gur) ½ tsp\xa0', 'Red chilli powder - ¼ tsp\xa0', 'Sesame oil (til oil) 1 tsp\xa0', 'Coriander Seeds  ½ tsp\xa0', 'Asafoetida - a pinch\xa0', 'Salt to taste\xa0', 'Water - 2 cups']"
Puttu,veg,https://www.balancenutrition.in/recipes/recipe-details/puttu,Energy (kcal)- 155,Protein (g) - 4,Carbohydrate (g)- 23,Fat (g) - 3.8," Puttu , a very simple but delicious meal to have any time of day especially for breakfast. Rice provides you with energy. Coconut, a source of Medium chain triglyceride (good quality fat) which help to increase energy expenditure. Flax seeds, rich in fiber. Also contains Omega 3 fatty acids, that are good for health.","['Rice rawa flour: 30g', 'Cardamom powder: ¼ tsp', 'Flaxseeds powder: ¼ tsp', 'Ghee: ½ tsp', 'Grated Coconut: 1 tsp', 'Water: as required', 'Salt: to taste\xa0\xa0']"
Quick Dosa,vegan,https://www.balancenutrition.in/recipes/recipe-details/quick-dosa,Energy (kcal)- 100,Protein (g) - 7.5,Carbohydrate (g)- 41,Fat (g) - 3.5, Dosa makes for a yummy breakfast item. And also dosa with sambar is a great source of complete protein as it is made of rice batter and urad dal (black gram lentil) and is a complete meal in itself for kids. ,"['Raw rice - ? cup', 'Cooked rice - 1 tbsp', 'Urad dal - 1 tbsp', 'Oil - ½ tsp', 'Salt to taste']"
Ragi Ball,veg,https://www.balancenutrition.in/recipes/recipe-details/ragi-ball,Energy (kcal)- 100,Protein (g) - 2.4,Carbohydrate (g)- 21,Fat (g) - 0.5," Ragi ball, which is rich in calcium, helps in keeping your bones and teeth healthy. This food is quite popular during the summer season as it helps to keep the body cool. For those who are on a weight control diet and want to lose those love handles, ragi ball is the best food. It is also a remarkable source of protein, making it perfect for vegetarians.
","['Ragi flour- 2 tbsp\xa0', 'Rice- 1 tbsp (cooked- 2 tbsp)', 'Salt- as per taste', 'Water- as required']"
Ragi Porridge ,veg,https://www.balancenutrition.in/recipes/recipe-details/ragi-porridge,Energy (kcal)- 220,Protein (g) - 15,Carbohydrate (g)- 25,Fat (g) - 5," Ragi porridge is one of the extremely nutritious and easier to digest breakfast. Ragi is rich in calcium, iron and fibre. It also contains phytochemicals, which aids in slowing down the digestion process. Ragi's high levels of niacin help in increasing HDL cholesterol while lowering Triglycerides. It takes just a couple of minutes to prepare. One can drink as it is or mixes it with buttermilk and drink it. If one is feeding this porridge to toddlers add little more ghee to it.","['Ragi- 30 gms\xa0', 'Milk- 75 ml\xa0', 'Dry fruits- 8 gms\xa0', 'Water- 3 cups.\xa0', 'Salt- as per the taste\xa0', 'Jaggery/Sugar- 5 gms']"
Ragi Rava Upma,veg,https://www.balancenutrition.in/recipes/recipe-details/ragi-rava-upma,Energy (kcal)- 238,Protein (g) - 7.7,Carbohydrate (g)- 36.8,Fat (g) - 6.3," Ragi is a whole grain that is gluten-free and a staple of South India. It is a very good source of calcium, helps in controlling diabetes and helps battling anaemia. The high amount of dietary fibre in Ragi makes it a super food for weight loss.","['Ragi flour -  20gm', 'Rava - 10gm', 'Onion (chopped) - 1 no.', 'Carrot (chopped) - ½ no.\xa0', 'Green chilli (chopped) - 1 no.\xa0', 'Mustard seeds -  ¼ tsp\xa0', 'Chana dal -  1 tsp\xa0', 'Curry leaves - 2-3 no.\xa0', 'Oil - 1 tsp\xa0', 'Coriander leaves for garnish\xa0', 'Salt to taste']"
Ragi Uttapam,veg,https://www.balancenutrition.in/recipes/recipe-details/ragi-uttapam,Energy (kcal)- 175,Protein (g) - 6,Carbohydrate (g)- 30.5,Fat (g) - 3.5," This carbohydrate filled uttapam containing the nutritious whole cereal and also a great protein source makes it a very healthy breakfast option. Ragi contains all the essential amino acids, is the highest in calcium and potassium, and also a very rich source of iron. Due to its high fiber and polyphenol content, it had antibacterial, antioxidant and anti-diabetic properties. Also being high in the amino acid, tryptophan, the appetite-controlling amino acid, ragi uttapam is one of the best options for weight loss.","['Ragi Flour- 1 tbsp\xa0', 'Rice (raw)- 1 tbsp', 'Urad dal (raw)- 1 tbsp', 'Grated carrot- 10gm', 'Finely chopped Green Chilli- 1', 'Cumin Seeds- 1/4th tsp', 'Finely chopped coriander (cilantro) leaves- 1 tsp', 'Salt- as per taste\xa0', 'Oil- 1/2 Tsp', 'Water- as required\xa0']"
Ragi Vegetable Idli,veg,https://www.balancenutrition.in/recipes/recipe-details/ragi-vegetable-idli,Energy (kcal)- 165,Protein (g) - 5.9,Carbohydrate (g)- 30,Fat (g) - 1," Ragi idli is not just nutritious but also delicious. Ragi idli is the best ragi recipe as it preserves more nutrients because it is steam-cooked. With the traditional rice idli, the presence of ragi adds on to the nutritional quality of the idli. To make this dish healthier, tastier and wholesome, adding vegetables such as green peas, carrot, and French beans makes it yet more perfect. Coriander chutney and sambar are the best side dishes to be had with the whole grain-rich steamed idlis.","['Ragi flour- 1 Tsp\xa0', 'Rice (raw)- 1 tbsp', 'Urad dal (raw)- 1 tbsp', 'Mixed veggies (e.g. Finely chopped/grated Red/yellow/green bell pepper, carrots)- 1/2cup', 'Green chillies- 1', 'Oil- 1/4th tsp (to grease)', 'Salt- as per taste\xa0']"
Ragi Vermicelli Or Seviyan Upma  (Quarantine Sp.),veg,https://www.balancenutrition.in/recipes/recipe-details/ragi-vermicelli-or-seviyan-upma-quarantine-sp,Energy (kcal)- 227,Protein (g) - 5.9,Carbohydrate (g)- 33.7,Fat (g) - 7.7," Ragi is a whole grain that is gluten-free and a staple of South India. It is a very good source of calcium, helps in controlling diabetes and helps battling anaemia. The high amount of dietary fibre in Ragi makes it a super food for weight loss.","['Ragi sevaiya (vermicelli) - 1 cup\xa0', '\xa0Onion, sliced - 1/2 small\xa0', 'Green chillies - 2-3\xa0', '\xa0Grated coconut (optional but recommended) - 1/3 cup', '\xa0Oil - 1/2 tsp\xa0', '\xa0Mustard seeds - 1/4 tsp', 'Split urad dal (ulutham paruppu) - 1/4 tsp', 'Grated ginger - 1/2 tsp\xa0', 'Salt to taste']"
Rasam,veg,https://www.balancenutrition.in/recipes/recipe-details/rasam,Energy (kcal)- 75,Protein (g) - 3.5,Carbohydrate (g)- 9,Fat (g) - 2.8," Rasam is a  commonly had recipe in the South, not only does it contain the anti-bacterial properties of all the seasonings such as cumin seeds, asafoetida, but also consists of a boost in protein with the addition of toor dal. High in protein and easy to digest, the food item is best for digestion and also for ones general well-being. Also, containing tamarind juice as its base makes rasam a yummy tangy flavored delight.","['Coriander seeds - 1 tsp', 'Cumin seeds - 1 tsp', 'Asafetida - 1/4 tsp', 'Red chilli powder- 1/4 tsp', 'Black pepper - 1/4 tsp', 'Mustard seeds - 1/4 tsp \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0']"
Rava Pongal,vegan,https://www.balancenutrition.in/recipes/recipe-details/rava-pongal,Energy (kcal)- 89,Protein (g) - 2.6,Carbohydrate (g)- 14,Fat (g) - 2.75," This recipe is low in calories and loaded with many nutrients.  This recipe has also got immense health benefits like increasing immunity, high in protein, easily digestible. ","['Rava - 4 tbsp.\xa0', 'Moong dal - 1 tbsp.', 'Cumin powder - 1 pinch\xa0', 'Salt as Required']"
Sadya Parippu Curry,vegan,https://www.balancenutrition.in/recipes/recipe-details/sadya-parippu-curry,Energy (kcal)- 90,Protein (g) - 3,Carbohydrate (g)- 14,Fat (g) - 3," Lentils such as pigeon pea and tur dal are a powerhouse of nutrition. They are particularly rich in dietary fiber, lean protein, folate, and iron. Apart from that, they are also considered to be a good source of potassium, calcium, zinc, niacin and vitamin K. Parippu is hence a wonderful recipe packed with nutrients that can be easily relished during Onam.","['Split pigeon pea or Toor Dal - 1/2 cup', 'Shallots or pearl onions finely sliced - 2-3 no.', 'Garlic clove; finely chopped - 1', 'Ginger, finely chopped - 1/4 tsp\xa0', 'Green chillies, slit lengthwise - 1no.', 'Oil - 1/2 tsp', 'Curry leaves, crushed between the palms to enhance flavour - 2 spring', 'Water - 1or 2 cups']"
Sambar,vegan,https://www.balancenutrition.in/recipes/recipe-details/sambar,Energy (kcal)- 169,Protein (g) - 7.7,Carbohydrate (g)- 22,Fat (g) - 5, Sambar is undoubtedly an indispensable part of South Indian cuisine. It provides antioxidants and various health-promoting benefits. Sambar is a vegetarian dish and rich in fibre and protein. It helps to boost up immunity. It is low in calories and can be included in a weight-reducing diet. So you can lose weight and continue to enjoy aromatic and tasty food.,"['Toovar (Arhar) dal- 1/4 cup', 'Drumsticks- 1/2 stick', 'Bottle gourd (dudhi / lauki) cubes- 1/2 cup\xa0', 'Oil- 1 tsp', 'Mustard seeds (rai)- 1/4 tsp', 'Curry leaves - 1-2', 'Asafoetida (Hing)-a pinch', 'Tomato chopped- 1 small\xa0', 'Shallots (madras onions)- 1 small\xa0', 'Tamarind (Imli) pulp- 1/2 tsp\xa0', 'Sambhar powder-1/2 tsp', 'Chilli powder- 1 tsp\xa0', 'Turmeric powder (Haldi)-a pinch', 'Salt - to taste', 'Chopped coriander (dhania)-1/2 tsp']"
